Bank,Category,Metric,Unit,Year,Value
IFIC Bank,CAPITAL & EFFICIENCY,CRAR % (Group),%,2016,11.73
IFIC Bank,CAPITAL & EFFICIENCY,CRAR % (Group),%,2015,10.24
IFIC Bank,CAPITAL & EFFICIENCY,Cost-to-Income Ratio % (Group),%,2025,-101.27
IFIC Bank,CAPITAL & EFFICIENCY,Cost-to-Income Ratio % (Group),%,2024,98.73
IFIC Bank,CAPITAL & EFFICIENCY,Cost-to-Income Ratio % (Group),%,2023,65.3
IFIC Bank,CAPITAL & EFFICIENCY,Cost-to-Income Ratio % (Group),%,2022,54.17
IFIC Bank,CAPITAL & EFFICIENCY,Cost-to-Income Ratio % (Group),%,2021,47.05
IFIC Bank,CAPITAL & EFFICIENCY,Cost-to-Income Ratio % (Group),%,2020,65.4
IFIC Bank,CAPITAL & EFFICIENCY,Cost-to-Income Ratio % (Group),%,2019,54.9
IFIC Bank,CAPITAL & EFFICIENCY,Cost-to-Income Ratio % (Group),%,2018,
IFIC Bank,CAPITAL & EFFICIENCY,Cost-to-Income Ratio % (Group),%,2017,
IFIC Bank,CAPITAL & EFFICIENCY,Cost-to-Income Ratio % (Group),%,2016,60.02
IFIC Bank,CAPITAL & EFFICIENCY,Cost-to-Income Ratio % (Group),%,2015,55.3
IFIC Bank,DERIVED METRICS ,Estimated NPL amount (NPL% x Loans),Tk mn,2025,272493.4365
IFIC Bank,DERIVED METRICS ,Estimated NPL amount (NPL% x Loans),Tk mn,2024,245862.17517
IFIC Bank,DERIVED METRICS ,Estimated NPL amount (NPL% x Loans),Tk mn,2023,33157.12572
IFIC Bank,DERIVED METRICS ,Estimated NPL amount (NPL% x Loans),Tk mn,2022,19963.682607
IFIC Bank,DERIVED METRICS ,Estimated NPL amount (NPL% x Loans),Tk mn,2021,18655.701015
IFIC Bank,DERIVED METRICS ,Estimated NPL amount (NPL% x Loans),Tk mn,2020,10347.805
IFIC Bank,DERIVED METRICS ,Estimated NPL amount (NPL% x Loans),Tk mn,2019,12275.2293
IFIC Bank,DERIVED METRICS ,Estimated NPL amount (NPL% x Loans),Tk mn,2018,12746.888
IFIC Bank,DERIVED METRICS ,Estimated NPL amount (NPL% x Loans),Tk mn,2017,11472.896
IFIC Bank,DERIVED METRICS ,Estimated NPL amount (NPL% x Loans),Tk mn,2016,7472.588404
IFIC Bank,DERIVED METRICS ,Estimated NPL amount (NPL% x Loans),Tk mn,2015,8118.155384
IFIC Bank,DERIVED METRICS ,NPL / Total Assets % (estimated),%,2025,46.468700657791
IFIC Bank,DERIVED METRICS ,NPL / Total Assets % (estimated),%,2024,43.4620747291467
IFIC Bank,DERIVED METRICS ,NPL / Total Assets % (estimated),%,2023,6.25681109340459
IFIC Bank,DERIVED METRICS ,NPL / Total Assets % (estimated),%,2022,4.24264511983283
IFIC Bank,DERIVED METRICS ,NPL / Total Assets % (estimated),%,2021,4.54570377203944
IFIC Bank,DERIVED METRICS ,NPL / Total Assets % (estimated),%,2020,2.84740322278846
IFIC Bank,DERIVED METRICS ,NPL / Total Assets % (estimated),%,2019,3.87292295314718
IFIC Bank,DERIVED METRICS ,NPL / Total Assets % (estimated),%,2018,4.50303914537946
IFIC Bank,DERIVED METRICS ,NPL / Total Assets % (estimated),%,2017,4.53028284415733
IFIC Bank,DERIVED METRICS ,NPL / Total Assets % (estimated),%,2016,3.73160991207737
IFIC Bank,DERIVED METRICS ,NPL / Total Assets % (estimated),%,2015,4.49168563516381
IFIC Bank,DERIVED METRICS ,YoY NPAT growth %,%,2025,-25.9994144627696
IFIC Bank,DERIVED METRICS ,YoY NPAT growth %,%,2024,-1.34097564222015
IFIC Bank,DERIVED METRICS ,YoY NPAT growth %,%,2023,-0.126902963393376
IFIC Bank,DERIVED METRICS ,YoY NPAT growth %,%,2022,0.354584809130264
IFIC Bank,DERIVED METRICS ,YoY NPAT growth %,%,2021,3.52135231316726
IFIC Bank,DERIVED METRICS ,YoY NPAT growth %,%,2020,-0.770049099836334
IFIC Bank,DERIVED METRICS ,YoY NPAT growth %,%,2019,0.556687898089172
IFIC Bank,DERIVED METRICS ,YoY NPAT growth %,%,2018,-0.240812379110251
IFIC Bank,DERIVED METRICS ,YoY NPAT growth %,%,2017,0.306768276114829
IFIC Bank,DERIVED METRICS ,YoY NPAT growth %,%,2016,0.496991883761848
IFIC Bank,DERIVED METRICS ,YoY NPAT growth %,%,2015,
IFIC Bank,DERIVED METRICS ,YoY Equity growth %,%,2025,-0.817741114625677
IFIC Bank,DERIVED METRICS ,YoY Equity growth %,%,2024,-0.140618901434729
IFIC Bank,DERIVED METRICS ,YoY Equity growth %,%,2023,0.0748698265345593
IFIC Bank,DERIVED METRICS ,YoY Equity growth %,%,2022,0.111544365036607
IFIC Bank,DERIVED METRICS ,YoY Equity growth %,%,2021,0.199044692072808
IFIC Bank,DERIVED METRICS ,YoY Equity growth %,%,2020,0.0252063259747124
IFIC Bank,DERIVED METRICS ,YoY Equity growth %,%,2019,0.11218122626153
IFIC Bank,DERIVED METRICS ,YoY Equity growth %,%,2018,0.0767807585568918
IFIC Bank,DERIVED METRICS ,YoY Equity growth %,%,2017,0.475248520370051
IFIC Bank,DERIVED METRICS ,YoY Equity growth %,%,2016,0.125462596945284
IFIC Bank,DERIVED METRICS ,YoY Equity growth %,%,2015,
Bank Asia Ltd,BALANCE SHEET,Total Assets,Tk mn,2025,589486.81
Bank Asia Ltd,BALANCE SHEET,Total Assets,Tk mn,2024,532901.82
Bank Asia Ltd,BALANCE SHEET,Total Assets,Tk mn,2023,474147.76
Bank Asia Ltd,BALANCE SHEET,Total Assets,Tk mn,2022,468400.94
Bank Asia Ltd,BALANCE SHEET,Total Assets,Tk mn,2021,438293.29
Bank Asia Ltd,BALANCE SHEET,Total Assets,Tk mn,2020,408717.15
Bank Asia Ltd,BALANCE SHEET,Total Assets,Tk mn,2019,353800.37
Bank Asia Ltd,BALANCE SHEET,Total Assets,Tk mn,2018,307291.4
Bank Asia Ltd,BALANCE SHEET,Total Assets,Tk mn,2017,288996.64
Bank Asia Ltd,BALANCE SHEET,Total Assets,Tk mn,2016,253195.7
Bank Asia Ltd,BALANCE SHEET,Total Assets,Tk mn,2015,224347
Bank Asia Ltd,BALANCE SHEET,Loans & Advances,Tk mn,2025,294682.3
Bank Asia Ltd,BALANCE SHEET,Loans & Advances,Tk mn,2024,293725.6
Bank Asia Ltd,BALANCE SHEET,Loans & Advances,Tk mn,2023,291325.04
Bank Asia Ltd,BALANCE SHEET,Loans & Advances,Tk mn,2022,277870.36
Bank Asia Ltd,BALANCE SHEET,Loans & Advances,Tk mn,2021,262266.7
Bank Asia Ltd,BALANCE SHEET,Loans & Advances,Tk mn,2020,244642.03
Bank Asia Ltd,BALANCE SHEET,Loans & Advances,Tk mn,2019,227298.96
Bank Asia Ltd,BALANCE SHEET,Loans & Advances,Tk mn,2018,214618.15
Bank Asia Ltd,BALANCE SHEET,Loans & Advances,Tk mn,2017,197504.14
Bank Asia Ltd,BALANCE SHEET,Loans & Advances,Tk mn,2016,163609.78
Bank Asia Ltd,BALANCE SHEET,Loans & Advances,Tk mn,2015,136396.32
Bank Asia Ltd,BALANCE SHEET,Total Deposits,Tk mn,2025,456482.91
Bank Asia Ltd,BALANCE SHEET,Total Deposits,Tk mn,2024,416559.45
Bank Asia Ltd,BALANCE SHEET,Total Deposits,Tk mn,2023,361536.3
Bank Asia Ltd,BALANCE SHEET,Total Deposits,Tk mn,2022,337695.42
Bank Asia Ltd,BALANCE SHEET,Total Deposits,Tk mn,2021,317782.43
Bank Asia Ltd,BALANCE SHEET,Total Deposits,Tk mn,2020,303028.11
Bank Asia Ltd,BALANCE SHEET,Total Deposits,Tk mn,2019,253709.57
Bank Asia Ltd,BALANCE SHEET,Total Deposits,Tk mn,2018,222471.72
Bank Asia Ltd,BALANCE SHEET,Total Deposits,Tk mn,2017,207041.47
Bank Asia Ltd,BALANCE SHEET,Total Deposits,Tk mn,2016,191272.58
Bank Asia Ltd,BALANCE SHEET,Total Deposits,Tk mn,2015,169827
Bank Asia Ltd,BALANCE SHEET,Shareholders' Equity,Tk mn,2025,35228.64
Bank Asia Ltd,BALANCE SHEET,Shareholders' Equity,Tk mn,2024,31842.29
Bank Asia Ltd,BALANCE SHEET,Shareholders' Equity,Tk mn,2023,29519.53
Bank Asia Ltd,BALANCE SHEET,Shareholders' Equity,Tk mn,2022,28640.25
Bank Asia Ltd,BALANCE SHEET,Shareholders' Equity,Tk mn,2021,27356.64
Bank Asia Ltd,BALANCE SHEET,Shareholders' Equity,Tk mn,2020,27380.9
Bank Asia Ltd,BALANCE SHEET,Shareholders' Equity,Tk mn,2019,24745.12
Bank Asia Ltd,BALANCE SHEET,Shareholders' Equity,Tk mn,2018,23340.13
Bank Asia Ltd,BALANCE SHEET,Shareholders' Equity,Tk mn,2017,21054.49
Bank Asia Ltd,BALANCE SHEET,Shareholders' Equity,Tk mn,2016,19038.48
Bank Asia Ltd,BALANCE SHEET,Shareholders' Equity,Tk mn,2015,N/A
Bank Asia Ltd,INCOME STATEMENT,Net Interest Income,Tk mn,2025,-1377.09
Bank Asia Ltd,INCOME STATEMENT,Net Interest Income,Tk mn,2024,6029.97
Bank Asia Ltd,INCOME STATEMENT,Net Interest Income,Tk mn,2023,6233.07
Bank Asia Ltd,INCOME STATEMENT,Net Interest Income,Tk mn,2022,5506.73
Bank Asia Ltd,INCOME STATEMENT,Net Interest Income,Tk mn,2021,5639.88
Bank Asia Ltd,INCOME STATEMENT,Net Interest Income,Tk mn,2020,3185.32
Bank Asia Ltd,INCOME STATEMENT,Net Interest Income,Tk mn,2019,8400.76
Bank Asia Ltd,INCOME STATEMENT,Net Interest Income,Tk mn,2018,7902.69
Bank Asia Ltd,INCOME STATEMENT,Net Interest Income,Tk mn,2017,5570.01
Bank Asia Ltd,INCOME STATEMENT,Net Interest Income,Tk mn,2016,3968.45
Bank Asia Ltd,INCOME STATEMENT,Net Interest Income,Tk mn,2015,N/A
Bank Asia Ltd,INCOME STATEMENT,Non-Interest Income,Tk mn,2025,9042.32
Bank Asia Ltd,INCOME STATEMENT,Non-Interest Income,Tk mn,2024,7812.95
Bank Asia Ltd,INCOME STATEMENT,Non-Interest Income,Tk mn,2023,7532.73
Bank Asia Ltd,INCOME STATEMENT,Non-Interest Income,Tk mn,2022,8596.86
Bank Asia Ltd,INCOME STATEMENT,Non-Interest Income,Tk mn,2021,6609.12
Bank Asia Ltd,INCOME STATEMENT,Non-Interest Income,Tk mn,2020,4462.27
Bank Asia Ltd,INCOME STATEMENT,Non-Interest Income,Tk mn,2019,4456.4
Bank Asia Ltd,INCOME STATEMENT,Non-Interest Income,Tk mn,2018,4015.84
Bank Asia Ltd,INCOME STATEMENT,Non-Interest Income,Tk mn,2017,4120.56
Bank Asia Ltd,INCOME STATEMENT,Non-Interest Income,Tk mn,2016,3756.18
Bank Asia Ltd,INCOME STATEMENT,Non-Interest Income,Tk mn,2015,N/A
Bank Asia Ltd,INCOME STATEMENT,Net Profit After Tax,Tk mn,2025,4455.82
Bank Asia Ltd,INCOME STATEMENT,Net Profit After Tax,Tk mn,2024,2774.6
Bank Asia Ltd,INCOME STATEMENT,Net Profit After Tax,Tk mn,2023,2395.8
Bank Asia Ltd,INCOME STATEMENT,Net Profit After Tax,Tk mn,2022,3045.87
Bank Asia Ltd,INCOME STATEMENT,Net Profit After Tax,Tk mn,2021,2706.74
Bank Asia Ltd,INCOME STATEMENT,Net Profit After Tax,Tk mn,2020,2035.71
Bank Asia Ltd,INCOME STATEMENT,Net Profit After Tax,Tk mn,2019,1960.81
Bank Asia Ltd,INCOME STATEMENT,Net Profit After Tax,Tk mn,2018,2266.28
Bank Asia Ltd,INCOME STATEMENT,Net Profit After Tax,Tk mn,2017,2047.53
Bank Asia Ltd,INCOME STATEMENT,Net Profit After Tax,Tk mn,2016,1545.91
Bank Asia Ltd,INCOME STATEMENT,Net Profit After Tax,Tk mn,2015,N/A
Bank Asia Ltd,PER-SHARE & PROFITABILITY,EPS,BDT,2025,3.19
Bank Asia Ltd,PER-SHARE & PROFITABILITY,EPS,BDT,2024,1.88
Bank Asia Ltd,PER-SHARE & PROFITABILITY,EPS,BDT,2023,1.72
Bank Asia Ltd,PER-SHARE & PROFITABILITY,EPS,BDT,2022,2.61
Bank Asia Ltd,PER-SHARE & PROFITABILITY,EPS,BDT,2021,2.32
Bank Asia Ltd,PER-SHARE & PROFITABILITY,EPS,BDT,2020,1.75
Bank Asia Ltd,PER-SHARE & PROFITABILITY,EPS,BDT,2019,1.68
Bank Asia Ltd,PER-SHARE & PROFITABILITY,EPS,BDT,2018,1.94
Bank Asia Ltd,PER-SHARE & PROFITABILITY,EPS,BDT,2017,1.84
Bank Asia Ltd,PER-SHARE & PROFITABILITY,EPS,BDT,2016,1.57
Bank Asia Ltd,PER-SHARE & PROFITABILITY,EPS,BDT,2015,N/A
Bank Asia Ltd,PER-SHARE & PROFITABILITY,ROA %,%,2025,0.79
Bank Asia Ltd,PER-SHARE & PROFITABILITY,ROA %,%,2024,0.55
Bank Asia Ltd,PER-SHARE & PROFITABILITY,ROA %,%,2023,0.51
Bank Asia Ltd,PER-SHARE & PROFITABILITY,ROA %,%,2022,0.67
Bank Asia Ltd,PER-SHARE & PROFITABILITY,ROA %,%,2021,0.64
Bank Asia Ltd,PER-SHARE & PROFITABILITY,ROA %,%,2020,0.53
Bank Asia Ltd,PER-SHARE & PROFITABILITY,ROA %,%,2019,0.59
Bank Asia Ltd,PER-SHARE & PROFITABILITY,ROA %,%,2018,0.76
Bank Asia Ltd,PER-SHARE & PROFITABILITY,ROA %,%,2017,0.76
Bank Asia Ltd,PER-SHARE & PROFITABILITY,ROA %,%,2016,0.65
Bank Asia Ltd,PER-SHARE & PROFITABILITY,ROA %,%,2015,N/A
Bank Asia Ltd,PER-SHARE & PROFITABILITY,ROE %,%,2025,13.29
Bank Asia Ltd,PER-SHARE & PROFITABILITY,ROE %,%,2024,9.04
Bank Asia Ltd,PER-SHARE & PROFITABILITY,ROE %,%,2023,8.24
Bank Asia Ltd,PER-SHARE & PROFITABILITY,ROE %,%,2022,10.88
Bank Asia Ltd,PER-SHARE & PROFITABILITY,ROE %,%,2021,9.89
Bank Asia Ltd,PER-SHARE & PROFITABILITY,ROE %,%,2020,7.81
Bank Asia Ltd,PER-SHARE & PROFITABILITY,ROE %,%,2019,8.16
Bank Asia Ltd,PER-SHARE & PROFITABILITY,ROE %,%,2018,10.21
Bank Asia Ltd,PER-SHARE & PROFITABILITY,ROE %,%,2017,10.21
Bank Asia Ltd,PER-SHARE & PROFITABILITY,ROE %,%,2016,8.13
Bank Asia Ltd,PER-SHARE & PROFITABILITY,ROE %,%,2015,N/A
Bank Asia Ltd,ASSET QUALITY,Loan-Deposit Ratio %,%,2025,55.77
Bank Asia Ltd,ASSET QUALITY,Loan-Deposit Ratio %,%,2024,64.13
Bank Asia Ltd,ASSET QUALITY,Loan-Deposit Ratio %,%,2023,72.48
Bank Asia Ltd,ASSET QUALITY,Loan-Deposit Ratio %,%,2022,68.17
Bank Asia Ltd,ASSET QUALITY,Loan-Deposit Ratio %,%,2021,65.58
Bank Asia Ltd,ASSET QUALITY,Loan-Deposit Ratio %,%,2020,69.42
Bank Asia Ltd,ASSET QUALITY,Loan-Deposit Ratio %,%,2019,76.47
Bank Asia Ltd,ASSET QUALITY,Loan-Deposit Ratio %,%,2018,81.75
Bank Asia Ltd,ASSET QUALITY,Loan-Deposit Ratio %,%,2017,81.88
Bank Asia Ltd,ASSET QUALITY,Loan-Deposit Ratio %,%,2016,76.15
Bank Asia Ltd,ASSET QUALITY,Loan-Deposit Ratio %,%,2015,N/A
Bank Asia Ltd,ASSET QUALITY,NPL % (gross),%,2025,8.38
Bank Asia Ltd,ASSET QUALITY,NPL % (gross),%,2024,11.4
Bank Asia Ltd,ASSET QUALITY,NPL % (gross),%,2023,6.7
Bank Asia Ltd,ASSET QUALITY,NPL % (gross),%,2022,4.87
Bank Asia Ltd,ASSET QUALITY,NPL % (gross),%,2021,5.14
Bank Asia Ltd,ASSET QUALITY,NPL % (gross),%,2020,3.24
Bank Asia Ltd,ASSET QUALITY,NPL % (gross),%,2019,4.61
Bank Asia Ltd,ASSET QUALITY,NPL % (gross),%,2018,4.1
Bank Asia Ltd,ASSET QUALITY,NPL % (gross),%,2017,4.38
Bank Asia Ltd,ASSET QUALITY,NPL % (gross),%,2016,5.41
Bank Asia Ltd,ASSET QUALITY,NPL % (gross),%,2015,N/A
Bank Asia Ltd,ASSET QUALITY,Provision Coverage %,%,2025,91.05
Bank Asia Ltd,ASSET QUALITY,Provision Coverage %,%,2024,67.75
Bank Asia Ltd,ASSET QUALITY,Provision Coverage %,%,2023,80.06
Bank Asia Ltd,ASSET QUALITY,Provision Coverage %,%,2022,77.79
Bank Asia Ltd,ASSET QUALITY,Provision Coverage %,%,2021,54.12
Bank Asia Ltd,ASSET QUALITY,Provision Coverage %,%,2020,51.96
Bank Asia Ltd,ASSET QUALITY,Provision Coverage %,%,2019,43.93
Bank Asia Ltd,ASSET QUALITY,Provision Coverage %,%,2018,44.19
Bank Asia Ltd,ASSET QUALITY,Provision Coverage %,%,2017,43.27
Bank Asia Ltd,ASSET QUALITY,Provision Coverage %,%,2016,50.8
Bank Asia Ltd,ASSET QUALITY,Provision Coverage %,%,2015,N/A
Bank Asia Ltd,CAPITAL & EFFICIENCY,CRAR % (Group),%,2025,15.13
Bank Asia Ltd,CAPITAL & EFFICIENCY,CRAR % (Group),%,2024,15.61
Bank Asia Ltd,CAPITAL & EFFICIENCY,CRAR % (Group),%,2023,16.45
Bank Asia Ltd,CAPITAL & EFFICIENCY,CRAR % (Group),%,2022,17.7
Bank Asia Ltd,CAPITAL & EFFICIENCY,CRAR % (Group),%,2021,15.72
Bank Asia Ltd,CAPITAL & EFFICIENCY,CRAR % (Group),%,2020,16.93
Bank Asia Ltd,CAPITAL & EFFICIENCY,CRAR % (Group),%,2019,17.93
Bank Asia Ltd,CAPITAL & EFFICIENCY,CRAR % (Group),%,2018,15.05
Bank Asia Ltd,CAPITAL & EFFICIENCY,CRAR % (Group),%,2017,14.89
Bank Asia Ltd,CAPITAL & EFFICIENCY,CRAR % (Group),%,2016,12.42
Bank Asia Ltd,CAPITAL & EFFICIENCY,CRAR % (Group),%,2015,80.31%*
Bank Asia Ltd,CAPITAL & EFFICIENCY,Cost-to-Income Ratio % (Group),%,2025,35.73
Bank Asia Ltd,CAPITAL & EFFICIENCY,Cost-to-Income Ratio % (Group),%,2024,37
Bank Asia Ltd,CAPITAL & EFFICIENCY,Cost-to-Income Ratio % (Group),%,2023,45.02
Bank Asia Ltd,CAPITAL & EFFICIENCY,Cost-to-Income Ratio % (Group),%,2022,47.14
Bank Asia Ltd,CAPITAL & EFFICIENCY,Cost-to-Income Ratio % (Group),%,2021,44.93
Bank Asia Ltd,CAPITAL & EFFICIENCY,Cost-to-Income Ratio % (Group),%,2020,54.42
Bank Asia Ltd,CAPITAL & EFFICIENCY,Cost-to-Income Ratio % (Group),%,2019,42.33
Bank Asia Ltd,CAPITAL & EFFICIENCY,Cost-to-Income Ratio % (Group),%,2018,42.93
Bank Asia Ltd,CAPITAL & EFFICIENCY,Cost-to-Income Ratio % (Group),%,2017,44.12
Bank Asia Ltd,CAPITAL & EFFICIENCY,Cost-to-Income Ratio % (Group),%,2016,44.35
Bank Asia Ltd,CAPITAL & EFFICIENCY,Cost-to-Income Ratio % (Group),%,2015,N/A
Bank Asia Ltd,CAPITAL & EFFICIENCY,DERIVED METRICS,,2025,
Bank Asia Ltd,CAPITAL & EFFICIENCY,DERIVED METRICS,,2024,
Bank Asia Ltd,CAPITAL & EFFICIENCY,DERIVED METRICS,,2023,
Bank Asia Ltd,CAPITAL & EFFICIENCY,DERIVED METRICS,,2022,
Bank Asia Ltd,CAPITAL & EFFICIENCY,DERIVED METRICS,,2021,
Bank Asia Ltd,CAPITAL & EFFICIENCY,DERIVED METRICS,,2020,
Bank Asia Ltd,CAPITAL & EFFICIENCY,DERIVED METRICS,,2019,
Bank Asia Ltd,CAPITAL & EFFICIENCY,DERIVED METRICS,,2018,
Bank Asia Ltd,CAPITAL & EFFICIENCY,DERIVED METRICS,,2017,
Bank Asia Ltd,CAPITAL & EFFICIENCY,DERIVED METRICS,,2016,
Bank Asia Ltd,CAPITAL & EFFICIENCY,DERIVED METRICS,,2015,N/A
Bank Asia Ltd,CAPITAL & EFFICIENCY,Estimated NPL amount (NPL% x Loans),Tk mn,2025,24698.37
Bank Asia Ltd,CAPITAL & EFFICIENCY,Estimated NPL amount (NPL% x Loans),Tk mn,2024,33484.72
Bank Asia Ltd,CAPITAL & EFFICIENCY,Estimated NPL amount (NPL% x Loans),Tk mn,2023,19518.78
Bank Asia Ltd,CAPITAL & EFFICIENCY,Estimated NPL amount (NPL% x Loans),Tk mn,2022,13532.3
Bank Asia Ltd,CAPITAL & EFFICIENCY,Estimated NPL amount (NPL% x Loans),Tk mn,2021,13480.51
Bank Asia Ltd,CAPITAL & EFFICIENCY,Estimated NPL amount (NPL% x Loans),Tk mn,2020,7926.4
Bank Asia Ltd,CAPITAL & EFFICIENCY,Estimated NPL amount (NPL% x Loans),Tk mn,2019,10478.48
Bank Asia Ltd,CAPITAL & EFFICIENCY,Estimated NPL amount (NPL% x Loans),Tk mn,2018,8799.34
Bank Asia Ltd,CAPITAL & EFFICIENCY,Estimated NPL amount (NPL% x Loans),Tk mn,2017,8650.68
Bank Asia Ltd,CAPITAL & EFFICIENCY,Estimated NPL amount (NPL% x Loans),Tk mn,2016,8851.29
Bank Asia Ltd,CAPITAL & EFFICIENCY,Estimated NPL amount (NPL% x Loans),Tk mn,2015,
Bank Asia Ltd,CAPITAL & EFFICIENCY,NPL / Total Assets % (estimated),%,2025,4.19
Bank Asia Ltd,CAPITAL & EFFICIENCY,NPL / Total Assets % (estimated),%,2024,6.28
Bank Asia Ltd,CAPITAL & EFFICIENCY,NPL / Total Assets % (estimated),%,2023,4.12
Bank Asia Ltd,CAPITAL & EFFICIENCY,NPL / Total Assets % (estimated),%,2022,2.89
Bank Asia Ltd,CAPITAL & EFFICIENCY,NPL / Total Assets % (estimated),%,2021,3.08
Bank Asia Ltd,CAPITAL & EFFICIENCY,NPL / Total Assets % (estimated),%,2020,1.94
Bank Asia Ltd,CAPITAL & EFFICIENCY,NPL / Total Assets % (estimated),%,2019,2.96
Bank Asia Ltd,CAPITAL & EFFICIENCY,NPL / Total Assets % (estimated),%,2018,2.86
Bank Asia Ltd,CAPITAL & EFFICIENCY,NPL / Total Assets % (estimated),%,2017,2.99
Bank Asia Ltd,CAPITAL & EFFICIENCY,NPL / Total Assets % (estimated),%,2016,3.5
Bank Asia Ltd,CAPITAL & EFFICIENCY,NPL / Total Assets % (estimated),%,2015,N/A
Bank Asia Ltd,CAPITAL & EFFICIENCY,YoY NPAT growth %,%,2025,60.6
Bank Asia Ltd,CAPITAL & EFFICIENCY,YoY NPAT growth %,%,2024,15.81
Bank Asia Ltd,CAPITAL & EFFICIENCY,YoY NPAT growth %,%,2023,-21.34
Bank Asia Ltd,CAPITAL & EFFICIENCY,YoY NPAT growth %,%,2022,12.53
Bank Asia Ltd,CAPITAL & EFFICIENCY,YoY NPAT growth %,%,2021,32.96
Bank Asia Ltd,CAPITAL & EFFICIENCY,YoY NPAT growth %,%,2020,3.82
Bank Asia Ltd,CAPITAL & EFFICIENCY,YoY NPAT growth %,%,2019,-13.48
Bank Asia Ltd,CAPITAL & EFFICIENCY,YoY NPAT growth %,%,2018,10.68
Bank Asia Ltd,CAPITAL & EFFICIENCY,YoY NPAT growth %,%,2017,32.44
Bank Asia Ltd,CAPITAL & EFFICIENCY,YoY NPAT growth %,%,2016,N/A
Bank Asia Ltd,CAPITAL & EFFICIENCY,YoY NPAT growth %,%,2015,N/A
Bank Asia Ltd,CAPITAL & EFFICIENCY,YoY Equity growth %,%,2025,10.63
Bank Asia Ltd,CAPITAL & EFFICIENCY,YoY Equity growth %,%,2024,7.87
Bank Asia Ltd,CAPITAL & EFFICIENCY,YoY Equity growth %,%,2023,3.07
Bank Asia Ltd,CAPITAL & EFFICIENCY,YoY Equity growth %,%,2022,4.69
Bank Asia Ltd,CAPITAL & EFFICIENCY,YoY Equity growth %,%,2021,-0.09
Bank Asia Ltd,CAPITAL & EFFICIENCY,YoY Equity growth %,%,2020,10.65
Bank Asia Ltd,CAPITAL & EFFICIENCY,YoY Equity growth %,%,2019,6.02
Bank Asia Ltd,CAPITAL & EFFICIENCY,YoY Equity growth %,%,2018,10.86
Bank Asia Ltd,CAPITAL & EFFICIENCY,YoY Equity growth %,%,2017,10.59
Bank Asia Ltd,CAPITAL & EFFICIENCY,YoY Equity growth %,%,2016,N/A
Bank Asia Ltd,CAPITAL & EFFICIENCY,YoY Equity growth %,%,2015,N/A
BRAC Bank Ltd,BALANCE SHEET,Total Assets,Tk mn,2025,1179672
BRAC Bank Ltd,BALANCE SHEET,Total Assets,Tk mn,2024,930133
BRAC Bank Ltd,BALANCE SHEET,Total Assets,Tk mn,2023,726723
BRAC Bank Ltd,BALANCE SHEET,Total Assets,Tk mn,2022,563271
BRAC Bank Ltd,BALANCE SHEET,Total Assets,Tk mn,2021,449084
BRAC Bank Ltd,BALANCE SHEET,Total Assets,Tk mn,2020,397502
BRAC Bank Ltd,BALANCE SHEET,Total Assets,Tk mn,2019,369404
BRAC Bank Ltd,BALANCE SHEET,Total Assets,Tk mn,2018,315417
BRAC Bank Ltd,BALANCE SHEET,Total Assets,Tk mn,2017,279187
BRAC Bank Ltd,BALANCE SHEET,Total Assets,Tk mn,2016,248605
BRAC Bank Ltd,BALANCE SHEET,Total Assets,Tk mn,2015,224493
BRAC Bank Ltd,BALANCE SHEET,Loans & Advances,Tk mn,2025,730659
BRAC Bank Ltd,BALANCE SHEET,Loans & Advances,Tk mn,2024,623372
BRAC Bank Ltd,BALANCE SHEET,Loans & Advances,Tk mn,2023,519452
BRAC Bank Ltd,BALANCE SHEET,Loans & Advances,Tk mn,2022,410676
BRAC Bank Ltd,BALANCE SHEET,Loans & Advances,Tk mn,2021,321212
BRAC Bank Ltd,BALANCE SHEET,Loans & Advances,Tk mn,2020,273063
BRAC Bank Ltd,BALANCE SHEET,Loans & Advances,Tk mn,2019,264091
BRAC Bank Ltd,BALANCE SHEET,Loans & Advances,Tk mn,2018,238008
BRAC Bank Ltd,BALANCE SHEET,Loans & Advances,Tk mn,2017,202559
BRAC Bank Ltd,BALANCE SHEET,Loans & Advances,Tk mn,2016,173612
BRAC Bank Ltd,BALANCE SHEET,Loans & Advances,Tk mn,2015,147434
BRAC Bank Ltd,BALANCE SHEET,Total Deposits,Tk mn,2025,889517
BRAC Bank Ltd,BALANCE SHEET,Total Deposits,Tk mn,2024,689433
BRAC Bank Ltd,BALANCE SHEET,Total Deposits,Tk mn,2023,513909
BRAC Bank Ltd,BALANCE SHEET,Total Deposits,Tk mn,2022,384467
BRAC Bank Ltd,BALANCE SHEET,Total Deposits,Tk mn,2021,314591
BRAC Bank Ltd,BALANCE SHEET,Total Deposits,Tk mn,2020,289054
BRAC Bank Ltd,BALANCE SHEET,Total Deposits,Tk mn,2019,268309
BRAC Bank Ltd,BALANCE SHEET,Total Deposits,Tk mn,2018,233509
BRAC Bank Ltd,BALANCE SHEET,Total Deposits,Tk mn,2017,196224
BRAC Bank Ltd,BALANCE SHEET,Total Deposits,Tk mn,2016,168860
BRAC Bank Ltd,BALANCE SHEET,Total Deposits,Tk mn,2015,143321
BRAC Bank Ltd,BALANCE SHEET,Shareholders' Equity,Tk mn,2025,99702
BRAC Bank Ltd,BALANCE SHEET,Shareholders' Equity,Tk mn,2024,75797
