Bank,Category,Metric,Unit,Year,Value
City Bank,PER-SHARE & PROFITABILITY,EPS,BDT,2015,4.1
City Bank,PER-SHARE & PROFITABILITY,ROA %,%,2025,1.7
City Bank,PER-SHARE & PROFITABILITY,ROA %,%,2024,1.7
City Bank,PER-SHARE & PROFITABILITY,ROA %,%,2023,1.2
City Bank,PER-SHARE & PROFITABILITY,ROA %,%,2022,1
City Bank,PER-SHARE & PROFITABILITY,ROA %,%,2021,1.2
City Bank,PER-SHARE & PROFITABILITY,ROA %,%,2020,1.1
City Bank,PER-SHARE & PROFITABILITY,ROA %,%,2019,0.7
City Bank,PER-SHARE & PROFITABILITY,ROA %,%,2018,0.7
City Bank,PER-SHARE & PROFITABILITY,ROA %,%,2017,1.4
City Bank,PER-SHARE & PROFITABILITY,ROA %,%,2016,1.7
City Bank,PER-SHARE & PROFITABILITY,ROA %,%,2015,1.9
City Bank,PER-SHARE & PROFITABILITY,ROE %,%,2025,24.4
City Bank,PER-SHARE & PROFITABILITY,ROE %,%,2024,26
City Bank,PER-SHARE & PROFITABILITY,ROE %,%,2023,17.6
City Bank,PER-SHARE & PROFITABILITY,ROE %,%,2022,14.1
City Bank,PER-SHARE & PROFITABILITY,ROE %,%,2021,15.8
City Bank,PER-SHARE & PROFITABILITY,ROE %,%,2020,14.8
City Bank,PER-SHARE & PROFITABILITY,ROE %,%,2019,9.9
City Bank,PER-SHARE & PROFITABILITY,ROE %,%,2018,8.2
City Bank,PER-SHARE & PROFITABILITY,ROE %,%,2017,15.9
City Bank,PER-SHARE & PROFITABILITY,ROE %,%,2016,19
City Bank,PER-SHARE & PROFITABILITY,ROE %,%,2015,18.3
City Bank,ASSET QUALITY,NPL % (gross),%,2025,2.5
City Bank,ASSET QUALITY,NPL % (gross),%,2024,3.7
City Bank,ASSET QUALITY,NPL % (gross),%,2023,3.6
City Bank,ASSET QUALITY,NPL % (gross),%,2022,3.9
City Bank,ASSET QUALITY,NPL % (gross),%,2021,4.9
City Bank,ASSET QUALITY,NPL % (gross),%,2020,4
City Bank,ASSET QUALITY,NPL % (gross),%,2019,5.8
City Bank,ASSET QUALITY,NPL % (gross),%,2018,5.3
City Bank,ASSET QUALITY,NPL % (gross),%,2017,5.4
City Bank,ASSET QUALITY,NPL % (gross),%,2016,6
City Bank,ASSET QUALITY,NPL % (gross),%,2015,7.6
City Bank,ASSET QUALITY,NPL amount,Tk mn,2025,12669
City Bank,ASSET QUALITY,NPL amount,Tk mn,2024,16569
City Bank,ASSET QUALITY,NPL amount,Tk mn,2023,14385
City Bank,ASSET QUALITY,NPL amount,Tk mn,2022,13671
City Bank,ASSET QUALITY,NPL amount,Tk mn,2021,13906
City Bank,ASSET QUALITY,NPL amount,Tk mn,2020,10850
City Bank,ASSET QUALITY,NPL amount,Tk mn,2019,14244
City Bank,ASSET QUALITY,NPL amount,Tk mn,2018,12326
City Bank,ASSET QUALITY,NPL amount,Tk mn,2017,10678
City Bank,ASSET QUALITY,NPL amount,Tk mn,2016,10582
City Bank,ASSET QUALITY,NPL amount,Tk mn,2015,10845
City Bank,ASSET QUALITY,Provision Coverage %,%,2025,127
City Bank,ASSET QUALITY,Provision Coverage %,%,2024,106.8
City Bank,ASSET QUALITY,Provision Coverage %,%,2023,110.1
City Bank,ASSET QUALITY,Provision Coverage %,%,2022,104.7
City Bank,ASSET QUALITY,Provision Coverage %,%,2021,90.1
City Bank,ASSET QUALITY,Provision Coverage %,%,2020,83.8
City Bank,ASSET QUALITY,Provision Coverage %,%,2019,71
City Bank,ASSET QUALITY,Provision Coverage %,%,2018,64.6
City Bank,ASSET QUALITY,Provision Coverage %,%,2017,56.7
City Bank,ASSET QUALITY,Provision Coverage %,%,2016,59.6
City Bank,ASSET QUALITY,Provision Coverage %,%,2015,57.5
City Bank,ASSET QUALITY,Loan-Deposit Ratio %,%,2025,71.3
City Bank,ASSET QUALITY,Loan-Deposit Ratio %,%,2024,74.7
City Bank,ASSET QUALITY,Loan-Deposit Ratio %,%,2023,83.7
City Bank,ASSET QUALITY,Loan-Deposit Ratio %,%,2022,83.2
City Bank,ASSET QUALITY,Loan-Deposit Ratio %,%,2021,84.7
City Bank,ASSET QUALITY,Loan-Deposit Ratio %,%,2020,74.7
City Bank,ASSET QUALITY,Loan-Deposit Ratio %,%,2019,79.1
City Bank,ASSET QUALITY,Loan-Deposit Ratio %,%,2018,82.5
City Bank,ASSET QUALITY,Loan-Deposit Ratio %,%,2017,84.9
City Bank,ASSET QUALITY,Loan-Deposit Ratio %,%,2016,80.4
City Bank,ASSET QUALITY,Loan-Deposit Ratio %,%,2015,79.2
City Bank,CAPITAL & EFFICIENCY,Capital Adequacy Ratio %,%,2025,15.7
City Bank,CAPITAL & EFFICIENCY,Capital Adequacy Ratio %,%,2024,16
City Bank,CAPITAL & EFFICIENCY,Capital Adequacy Ratio %,%,2023,15.8
City Bank,CAPITAL & EFFICIENCY,Capital Adequacy Ratio %,%,2022,14.5
City Bank,CAPITAL & EFFICIENCY,Capital Adequacy Ratio %,%,2021,14.2
City Bank,CAPITAL & EFFICIENCY,Capital Adequacy Ratio %,%,2020,15.5
City Bank,CAPITAL & EFFICIENCY,Capital Adequacy Ratio %,%,2019,15.2
City Bank,CAPITAL & EFFICIENCY,Capital Adequacy Ratio %,%,2018,13.4
City Bank,CAPITAL & EFFICIENCY,Capital Adequacy Ratio %,%,2017,14.7
City Bank,CAPITAL & EFFICIENCY,Capital Adequacy Ratio %,%,2016,13.2
City Bank,CAPITAL & EFFICIENCY,Capital Adequacy Ratio %,%,2015,13.2
City Bank,CAPITAL & EFFICIENCY,Cost-to-Income Ratio %,%,2025,43.7
City Bank,CAPITAL & EFFICIENCY,Cost-to-Income Ratio %,%,2024,42.1
City Bank,CAPITAL & EFFICIENCY,Cost-to-Income Ratio %,%,2023,51.1
City Bank,CAPITAL & EFFICIENCY,Cost-to-Income Ratio %,%,2022,51.9
City Bank,CAPITAL & EFFICIENCY,Cost-to-Income Ratio %,%,2021,48.6
City Bank,CAPITAL & EFFICIENCY,Cost-to-Income Ratio %,%,2020,57.9
City Bank,CAPITAL & EFFICIENCY,Cost-to-Income Ratio %,%,2019,54.7
City Bank,CAPITAL & EFFICIENCY,Cost-to-Income Ratio %,%,2018,58
City Bank,CAPITAL & EFFICIENCY,Cost-to-Income Ratio %,%,2017,53.9
City Bank,CAPITAL & EFFICIENCY,Cost-to-Income Ratio %,%,2016,47.6
